Shipment_ID,timestamp,driver_id,vehicle_id,route_id,supplier_id,shipping_costs,delivery_time_deviation,iot_temperature,order_fulfillment_status
100118,2026-01-16 17:42:00,DRV_00004,VEH_00040,RTE_00007,SUP_00006,14997.07,56.98,3.4,3.0
100119,2026-01-06 19:52:00,DRV_00018,VEH_00038,RTE_00023,SUP_00004,5204.57,69.48,-1.2,2.0
100120,2026-01-22 04:55:00,DRV_00037,VEH_00060,RTE_00015,SUP_00002,16833.8,15.68,12.1,2.0
100121,2026-02-24 14:03:00,DRV_00025,VEH_00059,RTE_00022,SUP_00358,15772.8,33.1,7.0,1.0
100122,2026-02-06 06:56:00,DRV_00048,VEH_00010,RTE_00727,SUP_00016,15260.49,1.63,0.0,2.0
100123,2026-03-03 21:35:00,DRV_00001,VEH_00064,RTE_00019,SUP_00018,12499.75,38.05,18.6,3.0
100124,2026-01-25 11:02:00,DRV_00046,VEH_00063,RTE_00022,SUP_00005,13452.09,33.71,-1.4,1.0
100125,2026-02-23 17:33:00,DRV_00015,VEH_00049,RTE_00015,SUP_00358,8693.84,6.12,15.4,3.0
100126,2026-02-25 06:15:00,DRV_00009,VEH_00064,RTE_01007,SUP_00004,13223.16,29.04,18.6,3.0
100127,2026-03-08 21:54:00,DRV_00015,VEH_00032,RTE_00028,SUP_00013,5340.12,20.73,18.6,1.0
100128,2026-02-28 18:51:00,DRV_00049,VEH_00007,RTE_00024,SUP_00019,20226.77,35.18,1.5,3.0
100129,2026-02-13 23:35:00,DRV_00024,VEH_00021,RTE_00008,SUP_00484,5051.54,40.1,17.2,2.0
100130,2026-01-08 14:45:00,DRV_00004,VEH_00020,RTE_00011,SUP_00002,2581.67,-4.35,11.9,3.0
100131,2026-01-18 00:58:00,DRV_00012,VEH_00026,RTE_00029,SUP_00013,11188.03,53.6,14.0,1.0
100132,2026-02-19 00:32:00,DRV_00037,VEH_00068,RTE_00009,SUP_00011,16628.53,49.9,6.0,1.0
100133,2026-03-10 01:38:00,DRV_00037,VEH_00015,RTE_00015,SUP_00358,11224.06,23.2,4.7,1.0
100134,2026-01-06 15:10:00,DRV_00043,VEH_00079,RTE_00001,SUP_00004,7280.48,-0.92,18.6,3.0
100135,2026-02-25 01:49:00,DRV_00006,VEH_00014,RTE_01007,SUP_00358,14175.19,53.13,7.6,2.0
100136,2026-01-19 22:26:00,DRV_00039,VEH_00027,RTE_00001,SUP_00726,9001.56,36.48,9.0,1.0
100137,2026-02-06 19:12:00,DRV_00046,VEH_00040,RTE_00019,SUP_00726,23355.26,45.78,19.4,2.0
100138,2026-02-27 14:28:00,DRV_00024,VEH_00058,RTE_00003,SUP_00015,23104.81,19.91,3.1,1.0
100139,2026-03-10 14:46:00,DRV_00011,VEH_00028,RTE_00010,SUP_00004,12808.11,9.15,18.6,2.0
100140,2026-01-05 19:10:00,DRV_00013,VEH_00026,RTE_00008,SUP_00009,8533.16,39.42,1.4,2.0
100141,2026-03-05 04:22:00,DRV_00034,VEH_00063,RTE_00015,SUP_00007,18559.74,6.92,17.3,2.0
100142,2026-01-01 03:26:00,DRV_00025,VEH_00066,RTE_00010,SUP_00019,1399.47,22.43,-1.7,1.0
100143,2026-03-02 10:54:00,DRV_00007,VEH_00025,RTE_00001,SUP_00019,12131.84,48.67,7.6,3.0
100144,2026-03-03 00:57:00,DRV_00004,VEH_00003,RTE_00029,SUP_00006,8739.92,38.13,4.7,3.0
100145,2026-01-17 06:19:00,DRV_00008,VEH_00072,RTE_00018,SUP_00006,23053.13,24.76,7.0,3.0
100146,2026-02-05 03:56:00,DRV_00020,VEH_00044,RTE_00002,SUP_00726,794.07,34.98,9.4,2.0
100147,2026-02-04 17:35:00,DRV_00029,VEH_00042,RTE_00019,SUP_00015,14043.96,38.28,6.7,1.0
100148,2026-02-07 16:28:00,DRV_00045,VEH_00006,RTE_00013,SUP_00015,18646.26,-4.55,6.3,2.0
100149,2026-03-03 01:39:00,DRV_00046,VEH_00039,RTE_00022,SUP_00726,12382.94,25.11,12.7,1.0
100150,2026-01-13 14:21:00,DRV_00010,VEH_00052,RTE_00001,SUP_00009,2592.37,62.86,11.7,2.0
100151,2026-02-25 19:16:00,DRV_00043,VEH_00023,RTE_00002,SUP_00004,24325.3,1.0,14.7,1.0
100152,2026-02-19 22:30:00,DRV_00034,VEH_00050,RTE_00029,SUP_00018,13191.26,49.42,3.0,1.0
100153,2026-02-08 22:04:00,DRV_00026,VEH_00043,RTE_00016,SUP_00018,15547.56,65.84,10.2,1.0
100154,2026-02-16 16:14:00,DRV_00041,VEH_00019,RTE_00015,SUP_00005,6296.94,15.84,9.7,2.0
100155,2026-01-24 11:47:00,DRV_00049,VEH_00069,RTE_00013,SUP_00726,12345.7,28.18,5.4,3.0
100156,2026-02-08 18:20:00,DRV_00003,VEH_00051,RTE_00016,SUP_00484,11014.16,38.81,7.7,2.0
100157,2026-02-13 11:43:00,DRV_00006,VEH_00011,RTE_00017,SUP_00011,2334.95,62.89,4.3,2.0
100158,2026-02-26 18:14:00,DRV_00005,VEH_00012,RTE_00021,SUP_00005,3100.93,67.53,0.8,1.0
100159,2026-02-22 09:30:00,DRV_00005,VEH_00074,RTE_00052,SUP_00358,21018.08,51.95,2.3,1.0
100160,2026-03-06 21:06:00,DRV_00047,VEH_00008,RTE_00029,SUP_00004,6375.59,1.67,0.1,3.0
100161,2026-01-16 11:39:00,DRV_00023,VEH_00024,RTE_00029,SUP_00012,5276.48,46.52,11.7,3.0
100162,2026-01-31 06:25:00,DRV_00049,VEH_00041,RTE_00007,SUP_00002,12870.33,26.59,11.2,1.0
100163,2026-02-14 11:24:00,DRV_00009,VEH_00036,RTE_00052,SUP_00013,19334.3,31.24,17.0,3.0
100164,2026-01-30 13:17:00,DRV_00035,VEH_00072,RTE_00024,SUP_00010,2017.69,-1.22,18.6,3.0
100165,2026-02-04 02:00:00,DRV_00020,VEH_00055,RTE_00026,SUP_00009,14631.79,9.71,-1.0,1.0
100166,2026-01-02 20:53:00,DRV_00049,VEH_00009,RTE_00017,SUP_00010,3420.66,55.87,15.7,2.0
100167,2026-03-07 23:23:00,DRV_00042,VEH_00047,RTE_00007,SUP_00007,1393.3,29.95,15.3,3.0
100168,2026-03-08 03:39:00,DRV_00035,VEH_00015,RTE_00013,SUP_00004,1792.23,18.23,6.9,1.0
100169,2026-02-18 00:43:00,DRV_00018,VEH_00048,RTE_00005,SUP_00019,20937.02,24.57,9.7,3.0
100170,2026-01-19 00:19:00,DRV_00017,VEH_00042,RTE_00026,SUP_00010,3390.33,60.79,17.5,3.0
100171,2026-02-03 23:25:00,DRV_00024,VEH_00060,RTE_00017,SUP_00003,1606.21,52.67,18.6,1.0
100172,2026-01-30 19:41:00,DRV_00003,VEH_00070,RTE_00003,SUP_00548,11228.55,28.59,16.1,3.0
100173,2026-01-16 03:54:00,DRV_00032,VEH_00012,RTE_00007,SUP_00019,21177.84,4.05,-0.3,3.0
100174,2026-01-13 12:47:00,DRV_00035,VEH_00002,RTE_00026,SUP_00548,6929.01,34.44,18.6,3.0
100175,2026-01-19 03:05:00,DRV_00038,VEH_00007,RTE_00017,SUP_00002,10831.96,65.9,6.8,2.0
100176,2026-02-22 14:46:00,DRV_00013,VEH_00003,RTE_00007,SUP_00726,1478.1,42.98,9.7,2.0
100177,2026-01-11 21:47:00,DRV_00047,VEH_00003,RTE_00021,SUP_00010,11502.42,36.08,14.3,3.0
100178,2026-01-16 06:16:00,DRV_00025,VEH_00027,RTE_00001,SUP_00002,14651.52,40.92,17.8,1.0
100179,2026-01-31 17:42:00,DRV_00009,VEH_00040,RTE_00017,SUP_00002,14487.22,23.18,5.8,3.0
100180,2026-01-17 12:16:00,DRV_00004,VEH_00033,RTE_01007,SUP_00101,8644.45,57.15,-1.1,3.0
100181,2026-01-21 21:20:00,DRV_00014,VEH_00001,RTE_00017,SUP_00017,8230.56,35.29,18.6,2.0
100182,2026-02-16 10:02:00,DRV_00037,VEH_00008,RTE_00011,SUP_00016,3112.28,3.99,18.6,2.0
100183,2026-02-12 14:53:00,DRV_00034,VEH_00032,RTE_00025,SUP_00016,9486.56,4.94,2.0,2.0
100184,2026-01-05 16:56:00,DRV_00011,VEH_00048,RTE_00027,SUP_00014,2937.62,36.34,7.9,3.0
100185,2026-03-06 10:27:00,DRV_00041,VEH_00004,RTE_00029,SUP_00007,19281.6,67.12,12.8,3.0
100186,2026-02-08 04:56:00,DRV_00003,VEH_00070,RTE_00003,SUP_00548,24173.72,38.76,13.4,1.0
100187,2026-01-07 13:54:00,DRV_00028,VEH_00019,RTE_00015,SUP_00011,24266.82,61.95,8.0,3.0
100188,2026-02-10 07:33:00,DRV_00029,VEH_00032,RTE_00029,SUP_00101,21694.24,53.84,4.1,3.0
100189,2026-01-16 05:59:00,DRV_00009,VEH_00009,RTE_00021,SUP_00001,15219.41,14.08,17.5,2.0
100190,2026-01-04 20:10:00,DRV_00003,VEH_00012,RTE_00011,SUP_00011,17671.21,-2.2,11.3,2.0
100191,2026-03-07 20:56:00,DRV_00025,VEH_00011,RTE_00052,SUP_00484,7487.54,2.84,6.2,2.0
100192,2026-01-03 14:28:00,DRV_00034,VEH_00046,RTE_00026,SUP_00548,15953.88,27.29,3.6,2.0
100193,2026-03-09 17:04:00,DRV_00012,VEH_00016,RTE_00028,SUP_00004,11663.41,10.37,-1.5,2.0
100194,2026-03-10 02:58:00,DRV_00042,VEH_00001,RTE_00016,SUP_00007,12309.42,23.59,2.8,1.0
100195,2026-01-10 09:45:00,DRV_00009,VEH_00063,RTE_00025,SUP_00015,19065.53,33.63,1.4,1.0
100196,2026-02-15 23:19:00,DRV_00015,VEH_00021,RTE_00022,SUP_00018,7407.0,50.86,18.6,1.0
100197,2026-01-25 03:26:00,DRV_00040,VEH_00030,RTE_00028,SUP_00012,8291.97,3.72,3.8,2.0
100198,2026-02-21 01:30:00,DRV_00025,VEH_00013,RTE_00009,SUP_00017,23153.72,26.29,10.6,2.0
100199,2026-03-06 23:17:00,DRV_00005,VEH_00034,RTE_00024,SUP_00001,1877.5,32.35,0.4,2.0
100200,2026-02-12 10:07:00,DRV_00011,VEH_00004,RTE_00024,SUP_00011,12398.04,36.64,11.1,1.0
100201,2026-03-08 13:19:00,DRV_00034,VEH_00028,RTE_00001,SUP_00001,22863.62,58.01,3.7,2.0
100202,2026-02-17 19:20:00,DRV_00024,VEH_00059,RTE_00029,SUP_00015,15453.89,8.22,-2.0,1.0
100203,2026-02-07 18:24:00,DRV_00015,VEH_00027,RTE_00025,SUP_00548,13886.97,55.88,0.5,2.0
100204,2026-02-05 10:05:00,DRV_00038,VEH_00069,RTE_00022,SUP_00010,6618.73,48.35,16.7,3.0
100205,2026-02-02 08:16:00,DRV_00008,VEH_00025,RTE_00016,SUP_00007,8910.25,37.8,15.3,1.0
100206,2026-01-28 07:53:00,DRV_00005,VEH_00003,RTE_00009,SUP_00002,21375.19,48.86,2.7,3.0
100207,2026-02-13 01:23:00,DRV_00048,VEH_00068,RTE_00019,SUP_00010,14200.84,26.73,13.6,1.0
100208,2026-02-27 18:51:00,DRV_00026,VEH_00025,RTE_00012,SUP_00101,13111.18,5.66,10.2,2.0
100209,2026-02-06 14:53:00,DRV_00018,VEH_00020,RTE_00019,SUP_00004,2939.7,46.26,17.4,2.0
100210,2026-02-15 08:38:00,DRV_00006,VEH_00034,RTE_00022,SUP_00012,892.69,35.4,5.5,3.0
100211,2026-03-04 03:14:00,DRV_00037,VEH_00026,RTE_00009,SUP_00019,24110.29,44.23,11.6,2.0
100212,2026-01-17 10:24:00,DRV_00048,VEH_00005,RTE_00007,SUP_00011,9736.16,21.03,-0.7,1.0
100213,2026-02-16 15:32:00,DRV_00013,VEH_00061,RTE_00014,SUP_00008,15278.72,64.83,5.9,2.0
100214,2026-03-01 10:56:00,DRV_00028,VEH_00009,RTE_00029,SUP_00018,2453.02,40.23,19.4,2.0
100215,2026-03-06 18:24:00,DRV_00005,VEH_00050,RTE_00019,SUP_00011,17236.3,1.58,8.8,1.0
100216,2026-01-19 13:36:00,DRV_00013,VEH_00006,RTE_00019,SUP_00011,23347.88,29.63,3.8,3.0
100217,2026-03-07 10:09:00,DRV_00017,VEH_00060,RTE_00002,SUP_00013,14603.8,53.24,0.4,3.0
100218,2026-01-01 14:14:00,DRV_00040,VEH_00044,RTE_00009,SUP_00003,3589.83,56.15,12.1,2.0
100219,2026-03-04 13:24:00,DRV_00045,VEH_00011,RTE_00013,SUP_00012,14752.18,33.08,10.9,1.0
100220,2026-01-27 19:43:00,DRV_00032,VEH_00066,RTE_00015,SUP_00003,19275.51,63.9,5.5,3.0
100221,2026-01-06 03:12:00,DRV_00029,VEH_00047,RTE_00003,SUP_00010,10457.21,15.61,17.0,3.0
100222,2026-02-08 16:00:00,DRV_00003,VEH_00073,RTE_00011,SUP_00017,22056.02,26.62,18.6,2.0
100223,2026-02-02 10:37:00,DRV_00040,VEH_00003,RTE_00021,SUP_00358,16392.73,64.19,4.1,1.0
100224,2026-03-02 11:32:00,DRV_00034,VEH_00076,RTE_00014,SUP_00002,22531.6,64.01,16.4,3.0
100225,2026-02-05 07:39:00,DRV_00040,VEH_00030,RTE_01007,SUP_00017,15775.88,47.8,4.4,2.0
100226,2026-01-19 06:29:00,DRV_00027,VEH_00021,RTE_00025,SUP_00016,3716.56,61.14,3.0,2.0
